CustomerID,Country,City,State,PostalCode,Region,AddressID,OrderID,Sales,Discount,Profit,BillingID,CustomerID,CustomerName,Segment,OrderID,OrderDate,CustomerID,ProductID,Quantity,ProductID,ProductName,CataloguePrice,SupplierPrice,Category,SubCategory,OrderID,ShipDate,ShipMode,AddressID,ShipmentID
CG-12520,United States,Henderson,Kentucky,42420.0,South,AD000001,CA-2016-152156,26195,0.0,4191,B000001,CG-12520,Claire Gute,Consumer,CA-2016-152156,2016-11-08,CG-12520,FUR-BO-10001798,2.0,FUR-BO-10000112,"Bush Birmingham Collection Bookcase, Dark Cherry",7886.0,14969.0,Furniture,Bookcases,CA-2016-152156,2016-11-11,Second Class,AD000001,SH000001
DV-13045,United States,Los Angeles,California,90036.0,West,AD000002,CA-2016-152156,73194,0.0,21958,B000002,DV-13045,Darrin Van Huff,Corporate,CA-2016-152156,2016-11-08,CG-12520,FUR-CH-10000454,3.0,FUR-BO-10000330,"Sauder Camden County Barrister Bookcase, Planked Cherry Finish",10177.0,12240.0,Furniture,Bookcases,CA-2017-164098,2017-01-27,First Class,AD000001,SH000002
SO-20335,United States,Fort Lauderdale,Florida,33311.0,South,AD000003,CA-2016-138688,1462,0.0,687,B000003,SO-20335,Sean O'Donnell,Consumer,CA-2016-138688,2016-06-12,DV-13045,OFF-LA-10000240,2.0,FUR-BO-10000362,Sauder Inglewood Library Bookcases,10807.0,18807.0,Furniture,Bookcases,US-2015-123918,2015-10-15,Same Day,AD000001,SH000003
BH-11710,United States,Los Angeles,California,90032.0,West,AD000004,US-2015-108966,95757,0.45,-38303,B000004,BH-11710,Brosina Hoffman,Consumer,US-2015-108966,2015-10-11,SO-20335,FUR-TA-10000577,5.0,FUR-BO-10000468,O'Sullivan 2-Shelf Heavy-Duty Bookcases,5635.0,4080.0,Furniture,Bookcases,CA-2016-138688,2016-06-16,Second Class,AD000002,SH000004
AA-10480,United States,Concord,North Carolina,28027.0,South,AD000005,US-2015-108966,2236,0.2,251,B000005,AA-10480,Andrew Allen,Consumer,US-2015-108966,2015-10-11,SO-20335,OFF-ST-10000760,2.0,FUR-BO-10000711,"Hon Metal Bookcases, Gray",9014.0,5181.0,Furniture,Bookcases,CA-2017-139773,2017-12-04,Same Day,AD000002,SH000005
IM-15070,United States,Seattle,Washington,98103.0,West,AD000006,CA-2014-115812,4886,0.0,1416,B000006,IM-15070,Irene Maddox,Consumer,CA-2014-115812,2014-06-09,BH-11710,FUR-FU-10001487,7.0,FUR-BO-10000780,O'Sullivan Plantations 2-Door Library in Landvery Oak,10494.0,24827.0,Furniture,Bookcases,CA-2016-106656,2016-09-26,First Class,AD000002,SH000006
HP-14815,United States,Fort Worth,Texas,76106.0,Central,AD000007,CA-2014-115812,728,0.0,196,B000007,HP-14815,Harold Pawlan,Home Office,CA-2014-115812,2014-06-09,BH-11710,OFF-AR-10002833,4.0,FUR-BO-10001337,O'Sullivan Living Dimensions 2-Shelf Bookcases,9693.0,12809.0,Furniture,Bookcases,CA-2017-125745,2017-07-04,Standard Class,AD000002,SH000007
PK-19075,United States,Madison,Wisconsin,53711.0,Central,AD000008,CA-2014-115812,90715,0.2,9071,B000008,PK-19075,Pete Kriz,Consumer,CA-2014-115812,2014-06-09,BH-11710,TEC-PH-10002275,6.0,FUR-BO-10001519,O'Sullivan 3-Shelf Heavy-Duty Bookcases,4893.0,5523.0,Furniture,Bookcases,CA-2017-168389,2017-12-17,Standard Class,AD000002,SH000008
AG-10270,United States,West Jordan,Utah,84084.0,West,AD000009,CA-2014-115812,1850,0.2,578,B000009,AG-10270,Alejandro Grove,Consumer,CA-2014-115812,2014-06-09,BH-11710,OFF-BI-10003910,3.0,FUR-BO-10001567,"Bush Westfield Collection Bookcases, Dark Cherry Finish, Fully Assembled",-3310.0,31304.0,Furniture,Bookcases,US-2015-108966,2015-10-18,Standard Class,AD000003,SH000009
ZD-21925,United States,San Francisco,California,94109.0,West,AD000010,CA-2014-115812,11490,0.0,3447,B000010,ZD-21925,Zuschuss Donatelli,Consumer,CA-2014-115812,2014-06-09,BH-11710,OFF-AP-10002892,5.0,FUR-BO-10001601,"Sauder Mission Library with Doors, Fruitwood Finish",11673.0,12481.0,Furniture,Bookcases,CA-2015-161718,2015-12-10,Standard Class,AD000003,SH000010
